ID,Карточка (как звучит),Когда,Тип,ДА — последствия (механика),ДА — Δшкалы,НЕТ — последствия (механика),НЕТ — Δшкалы,Ведущий (ДА),Ведущий (НЕТ),Некролог ДА,Некролог НЕТ,Флаги,Длительный эффект,Тон
MD03,Отпуск на море?,"30+, если на счету ≥ 60₽",Сцена,"Стоит 60₽; пока в отпуске заработок заблокирован, деньги тают","Эн +2, Дн −2",Нет последствий (карточка гаснет),Эн −1,Красиво жить не запретишь!,,Умели отдыхать — на снимках это видно.,Отпуска себе почти не позволяли.,BLOCK$,—,
MD04,Взять ипотеку на своё жильё?,"30–40, если на счету ≥ 40₽",Развилка,Первый взнос 40₽; затем −0.3₽/сек на 20 лет,Дн −2,Нет последствий,Дн +1,Домовладелец!,,Обзавелись своим домом.,Своего жилья так и не нажили.,"DELAY(20), BLOCK$, EXCL:ипотека",DRAIN:Дн=-0.3/s DUR:20y,
MD05,Помочь стареющим родителям?,40–55,Сцена,Нет последствий (только эффект шкал),"Дн −1, Эн −1",Нет последствий,—,Золотое сердце!,Ну и ну…,Были опорой родителям до конца.,Родителям почти не помогали — и потом это грызло.,"—, BLOCK$",—,
MD06,Второй шанс на любовь?,"~40, если Отн потеряна",Таймлайн,Снова открывает балансир отношений,Отн +2,Нет последствий,—,Вторая молодость!,,Любовь встретили во второй раз.,После расставания больше никого не подпустили.,"TIMELINE, ZONE",—,
MD07,Завести блог и снимать контент?,"30–45, если CH08=ДА",Хобби,Нет последствий (только эффект шкал),"Эн +1, Дн −1",Нет последствий,—,Контент!,,Годами вели свой блог — и кому-то это правда заходило.,Свой блог так и не завели.,"ROND, BLOCK$",—,
CR00,КРИЗИС СРЕДНЕГО ВОЗРАСТА! БЛИЦ!,45–50,Блиц-старт,"Запускает блиц: 5 мыслей подряд, на ответ по 2 сек; надо жать «ВСЁ НОРМАЛЬНО»",—,Отказаться нельзя,—,БЛИЦ!,,—,—,"TIMELINE, BLITZ, FORCED",—,
CR01,«А чего ты вообще достиг?»,блиц,Блиц-мысль,Нажал «ВСЁ НОРМАЛЬНО» (позиция случайна) — мысль уходит,—,Промах или «О НЕТ» → провал +1 (2 провала запускают импульс-раунд),—,,,—,—,BLITZ,—,
CR02,«Зачем всё это вообще?»,блиц,Блиц-мысль,Нажал «ВСЁ НОРМАЛЬНО» — мысль уходит,—,Промах → провал +1,—,,,—,—,BLITZ,—,
CR03,«Жизнь проходит мимо?»,блиц,Блиц-мысль,Нажал «ВСЁ НОРМАЛЬНО» — мысль уходит,—,Промах → провал +1,—,,,—,—,BLITZ,—,
CR04,«Ты вообще счастлив?»,блиц,Блиц-мысль,Нажал «ВСЁ НОРМАЛЬНО» — мысль уходит,—,Промах → провал +1,—,,,—,—,BLITZ,—,
CR05,«Уже поздно что-то менять?»,блиц,Блиц-мысль,Нажал «ВСЁ НОРМАЛЬНО» — мысль уходит,—,Промах → провал +1,—,,,—,—,BLITZ,—,
CR06,БРОСИТЬ ПАРТНЁРА ПРЯМО СЕЙЧАС!,импульс-раунд (если ≥2 промаха),Импульс,Немедленный развод; отношения рвутся,—,Импульс погашен,—,Оу! Радикально!,Выдержка!,В кризис всё сожгли и ушли.,В трудный момент удержались и остались.,"INVERT, BREAK:Отн",—,
CR07,КУПИТЬ МОТОЦИКЛ И ГНАТЬ 200?,импульс-раунд,Импульс,Нет последствий (только эффект шкал),"Эн +2, Дн −2",Импульс погашен,—,ГАЗУЕМ!,Скучно…,В сорок с лишним купили тот самый мотоцикл.,От безумных затей вовремя отказались.,"INVERT, RANDOM_OUTCOME, BLOCK$",—,absurd
CR08,ПОБРИТЬСЯ НАЛЫСО И УЕХАТЬ НА ШРИ-ЛАНКУ?,импульс-раунд,Импульс,Разовый минус деньгам; временный отрыв,Дн −2,Импульс погашен,—,Дзен!,,Побрились налысо и укатили на Шри-Ланку.,От побега на край света удержались.,"INVERT, BLOCK$",—,absurd
CR09,ДЕПРЕССИЯ!,после кризиса (рандом),Событие,"Включает состояние «Депрессия» (экран ч/б, звук искажён) до прохождения мини-игры",Эн −1,Отказаться нельзя,—,,,Прошли через тёмную полосу — и выбрались.,—,"RANDOM_TRIGGER, TIMELINE, FORCED",—,
LT01,Заняться здоровьем всерьёз?,55–65,Сцена,Замедляет падение здоровья (декей ×0.5),"Здр +2, Дн −1",Болезни ускоряют падение здоровья (декей ×2),"Здр −2, Дн −1",Ещё повоюем!,А вот это зря…,Под старость взялись за здоровье всерьёз.,На здоровье махнули рукой.,"—, BLOCK$",—,
LT02,Лечь на операцию?,"55–70, если Здр<50%",Сцена,Стоит 120₽; здоровье +40%; игра продолжается,Здр +40,Риск: здоровье может уйти в ноль,Здр −2,,,Врачи собрали вас заново.,От операции отказались.,BLOCK$,—,
LT03,Выйти на пенсию?,60–65,Развилка,Заработок прекращается; деньги тают,"Эн +1, Дн −1",Нет последствий,"Дн +1, Эн −1",Заслуженный отдых!,,Ушли на покой и наконец выдохнули.,Работали до последнего.,—,—,
LT04,Ваш ребёнок вырос и больше не нуждается в помощи. Помочь всё равно?,"55–65, если MD02=ДА",Событие,Гасит шкалу ребёнка; портит отношения (навязчивость),Отн −2,Гасит шкалу ребёнка; всё в порядке,—,"Оу, как навязчиво!",,Опекали детей даже когда они давно выросли.,Выросших детей отпустили с миром.,TIMELINE,—,
LT05,Помириться со старым другом?,60–80,Сцена,Нет последствий (только эффект шкалы),Отн +1,Нет последствий,—,,,Старые обиды под конец отпустили.,С кем-то так и не помирились.,ROND,—,
LT07,Издать свои дневники книгой?,"75+, если CH07=ДА",Флейвор,Нет последствий (влияет на некролог),—,Нет последствий,—,Писатель!,,Свои дневники под старость издали книгой.,Записи так и остались лежать в столе.,ROND,—,
LT08,ПОРА ПОДЛЕЧИТЬСЯ! Оплатить?,когда здоровье < 40% (возраст ≥ 30),Здоровье/Система,Стоит 100₽; здоровье мгновенно до 80%,Здр → 80%,Ничего; риск смерти растёт,—,Как новенький!,,—,—,"BLOCK$, RANDOM_TRIGGER",—,
RND01,Лёгкие деньги от мутного типа?,20+,Соблазн,Через ~3 года — фатальный финал «За тобой пришли» (причина финала: криминал),Дн +2,Нет последствий,—,А вот это зря…,Мудро!,Ради денег играли с огнём.,Мутные схемы обходили стороной.,"DELAY(3), FATAL",—,risky
RND03,"Кто-то предлагает тебе странный белый порошок. Интересно, что это?",18+,Соблазн,Мгновенный конец игры (причина финала: белый порошок),—,Нет последствий,—,,И правильно!,—,Опасный соблазн отвели рукой.,FATAL,—,
RND04,Вложиться в крипту? Это должно выстрелить!,25+,Соблазн,Рандом: деньги ×3 или в ноль,Дн ±3,Нет последствий,—,Ва-банк!,,Поверили в лёгкие иксы — та ещё лотерея.,В крипту так и не полезли.,RANDOM_OUTCOME,—,risky
RND05,Роман на стороне?,если Отн открыта,Соблазн,Через ~2 года разбивает отношения → развод,—,Нет последствий,Отн +1,Ай-яй-яй!,,Один роман на стороне разрушил семью.,Верность сохранили.,"DELAY(2), BREAK:Отн",—,risky
RND06,Селфи на краю крыши ради эффектного кадра?,любой,Фатальная,Мгновенный конец игры (причина финала: селфи на крыше),—,Нет последствий,—,"Ну, спасибо за игру!",,—,Ради лайков жизнью не рисковали.,"FATAL, RANDOM_TRIGGER",—,
KEK01,Коуч: «раскрой потенциал за 3 дня»?,25+,Кек,−10₽; эффекта нет (кек),Дн −1,Нет последствий,—,Оно и видно!,,—,—,"ROND, BLOCK$",—,absurd
KEK02,Курс «как перестать покупать курсы»?,25+,Кек,−10₽; эффекта нет (кек),Дн −1,Нет последствий,—,Гениально! (нет),,—,—,"ROND, BLOCK$",—,absurd
KEK03,Сетевой маркетинг: стать партнёром?,25+,Кек,−10₽; эффекта нет (кек),Дн −1,Нет последствий,—,,,—,—,"ROND, BLOCK$",—,absurd
KEK04,Секта ЗОЖ: только сельдерей?,25+,Кек,Эффекта нет (кек),Здр +1,Нет последствий,—,,,—,—,"NOCONS, ROND",—,absurd
KEK05,Экстрасенс снимет порчу?,25+,Кек,−10₽; эффекта нет (кек),Дн −1,Нет последствий,—,,,—,—,"ROND, BLOCK$",—,absurd
FA01,Купить ненужную вещь на распродаже?,18–19,Соблазн,−20₽ (флейвор),"Дн −1, Эн +1",Нет последствий,Дн +1,Скидка же!,Устоял — почти герой.,Дом заполнялся приятным хламом.,Лишнего не покупали.,BLOCK$,—,absurd
FA02,Забить новый холодильник нормальной едой?,18–19,Флейвор,−15₽ (флейвор),"Дн −1, Здр +1",мелкий эффект (флейвор),"Дн +1, Здр −1",Взрослая жизнь пошла!,"Доширак — тоже еда. Ну, почти.","Съехав, сразу научились готовить.",Первый год жили на лапше быстрого приготовления.,BLOCK$,—,warm
FA03,Приютить кота соседа по съёмной квартире?,18–19,Кек,Нет последствий,"Отн +1, Эн −1",Нет последствий,Отн −1,Котик решает всё!,Аллергия сильнее дружбы.,Делили быт с чужим наглым котом.,—,NOCONS,—,warm
FA04,Пойти на первое собеседование в костюме с чужого плеча?,18–19,Сцена,мелкий эффект (флейвор),"Отн +1, Эн −1",Нет последствий,—,Выглядим на миллион!,Пришли как есть — тоже позиция.,На собеседования всегда ходили при параде.,—,,—,sweet
FA05,Записаться в автошколу за компанию с другом?,18–19,Соблазн,−30₽ (флейвор),"Дн −2, Отн +1",Нет последствий,Дн +1,Права — это свобода!,"Пешком, говорят, здоровее.",Кое-как отучились в автошколе.,Так и не сели за руль.,BLOCK$,—,risky
FA06,Взять смену курьером в самый дождь?,18–19,Сцена,+20₽ (флейвор),"Дн +2, Здр −1",Нет последствий,Эн +1,"Деньги не пахнут, но мокнут.",Дома сухо и тепло.,Крутили педали под ливнем ради лишней копейки.,—,,—,bitter
FA07,Купить годовой абонемент в зал на волне энтузиазма?,18–19,Соблазн,−25₽ (флейвор),"Дн −2, Здр +1",Нет последствий,—,С понедельника — новая жизнь!,Он бы всё равно пылился.,"Оплатили зал, сходили дважды.",—,BLOCK$,—,absurd
FA08,Рвануть автостопом на выходные в соседний город?,18–19,Хобби,мелкий эффект (флейвор),"Эн −1, Отн +2",Нет последствий,Эн +1,Дорога зовёт!,Диван тоже вариант.,Ловили попутки и дешёвые приключения.,—,,—,warm
FA09,Остаться на вписке до самого утра?,18–19,Кек,Нет последствий,"Эн −2, Отн +1",Нет последствий,Здр +1,Молодость одна!,Выспаться — тоже кайф.,Досиживали на чужих кухнях до рассвета.,—,ROND,—,risky
FA10,Спустить всю первую зарплату за один вечер?,18–19,Соблазн,−40₽ (флейвор),"Дн −2, Отн +2",мелкий эффект (флейвор),Дн +1,"Гуляем, она же первая!",Отложили по-взрослому.,Первую зарплату спустили за вечер — зато красиво.,Первую зарплату отложили до копейки.,BLOCK$,—,risky
FB01,Пойти на свидание вслепую?,20–24,Соблазн,Мелкий эффект: вечер потрачен,"Отн +2, Эн −1",Нет последствий,Отн −1,А вдруг это любовь всей вашей недели!,Диван вас точно не бросит.,Ходили на свидания вслепую и иногда даже угадывали.,Знакомились строго при хорошем освещении.,,—,sweet
FB02,Снять квартиру на двоих с приятелем?,20–24,Сцена,−N₽ на аренду; веселее,"Отн +2, Дн −1",Живём с родителями дальше,Отн −1,"Своя кухня! Ну, почти своя.",Мамин суп никто не отменял.,Делили аренду и последнюю пачку макарон.,"Съезжать не спешили, и правильно делали.",BLOCK$,—,warm
FB03,Взять котёнка из приюта?,20–24,Хобби,−N₽ на корм; тепло на душе,"Дн −1, Эн −1",Нет последствий,—,Теперь диван официально не ваш.,Ноль когтей на обоях. Скукота.,Жили под мурчание и слой шерсти на всём.,Обои остались целыми до конца.,BLOCK$,—,warm
FB04,Рвануть на музыкальный фестиваль?,20–24,Соблазн,−N₽ на билет; громко и весело,"Дн −2, Здр −1",Посмотрим трансляцию дома,Дн +1,"Голос сядет, зато душа взлетит!",Наушники и тишина — тоже фестиваль.,Орали любимые песни в толпе незнакомцев.,"Слушали всё то же, но сидя и в тапках.",BLOCK$,—,warm
FB05,Сделать дерзкую стрижку с выбритым виском?,20–24,Кек,Мелкий эффект: смелый образ,"Дн −1, Отн −1",Нет последствий,—,Отрастёт! Наверное. Когда-нибудь.,Классика не подводит и не отрастает криво.,—,—,,—,absurd
FB06,Уехать в первый отпуск за свои деньги?,20–24,Сцена,−N₽ на поездку; заряд надолго,"Дн −2, Эн +1",Копим дальше,Дн +1,"Море ждёт, а карта пусть отдохнёт!","Отдых в мечтах бесплатный, между прочим.","Хоть раз, но уехали к морю на честно заработанное.","Копили на поездку, о которой только мечтали.",BLOCK$,—,warm
FB07,Взять первый заказ на фрилансе?,20–24,Сцена,+N₽ за подработку; устанешь,"Эн −2, Дн +1",Нет последствий,—,Свободный график — спим когда закончим!,Заказчик подождёт. Вечно.,Правили макет в три ночи за смешную сумму.,Дедлайны обходили стороной.,,—,bitter
FB08,Готовиться к сессии всю ночь напролёт?,20–24,Сцена,"Мелкий эффект: сдал, но выжат",Здр −2,Понадеемся на удачу,Эн +1,Кофе — пятый элемент студента!,"Авось — древняя, но рабочая стратегия.",Знали предмет ровно до утра после экзамена.,Сдавали на удачу и харизму.,,—,bitter
FB09,Спустить первую зарплату за один вечер?,20–24,Соблазн,−N₽ разом; зато красиво,"Дн −2, Эн −1",Отложим на потом,Дн +1,Заработал — имеешь право прогулять!,Копилка тихо вами гордится.,"Гуляли на всю котлету, а потом на дошираке.",Первую зарплату бережно спрятали в конверт.,BLOCK$,—,risky
FB10,Съехаться с тем самым человеком?,20–24,Сцена,Мелкий эффект: быт вдвоём,"Отн +2, Эн −1",Пока по своим углам,Отн −1,Одна зубная щётка на двоих — это судьба!,"Границы — тоже форма любви, говорят.",Учились делить одеяло и полку в холодильнике.,Любили на расстоянии вытянутой руки.,,—,sweet
FC01,Начальник: «дожми квартальный до полуночи — заметят наверху»?,25–29,Соблазн,"Минус вечер и силы, плюс галочка «надёжный»","Дн +1, Эн −2","Уходишь по звонку, без последствий",Эн −1,Наверху заметили твои мешки под глазами!,"Отчёт подождёт, а молодость — нет.","Дожимал квартальные, пока не дожали его.",—,,—,bitter
FC02,"Менеджер банка: «бери ипотеку, пока ставка не улетела»?",25–29,Соблазн,Свои стены и лёгкий груз на плечах,"Дн −1, Эн −1","Остаёшься на съёме, без последствий",—,Тридцать лет счастья по графику платежей!,Чужие стены зато без процентов.,"Успел выплатить кухню, но не коридор.",—,"BLOCK$, EXCL:ипотека",DRAIN:Дн=-0.3/s DUR:25y,risky
FC03,Друг зовёт бежать полумарафон весной — впишешься?,25–29,Хобби,"Колени ноют, зато сердце довольно","Здр +2, Эн −1","Остаёшься на диване, без последствий",—,Бежит от инфаркта — и пока выигрывает!,Диван тоже своего рода дистанция.,—,—,,—,warm
FC04,Записаться к терапевту — «просто поговорить»?,25–29,Сцена,"Кошелёк худеет, голова светлеет","Дн −2, Эн −1","Держишь всё в себе, без последствий",—,"Платит, чтобы услышать то, что знал бесплатно!","Зачем терапевт, когда есть кот.",—,Так и не проговорил ни разу.,BLOCK$,—,warm
FC05,Бросить тёплый офис ради вольного фриланса?,25–29,Соблазн,"Свобода в графике, тревога в кошельке","Эн +1, Дн −1","Остаёшься при пропуске, без последствий",—,Сам себе начальник — и сам себе безработный!,Стабильность — это тоже вид приключения.,"Работал из дома, отдыхал из дома, жил из дома.",—,BLOCK$,—,risky
FC06,"Пятая свадьба за лето, тамада тянет тебя на сцену — идёшь?",25–29,Флейвор,Конкурс на прищепках сближает,"Отн +1, Эн −1","Отсиживаешься за столом, без последствий",—,Горько! И это он про третий подарочный сервиз.,Стол с оливье тоже был рад компании.,—,—,ROND,—,warm
FC07,Мечта зовёт в другой город — собрать чемодан и уехать?,25–29,Сцена,"Новый горизонт, старые связи по видеосвязи","Дн +1, Отн −1, Эн −1","Остаёшься среди знакомых стен, без последствий",—,"Новый город, новые люди, старые тревоги!",Дома и стены знают твой размер.,—,Всё думал уехать — уехал только на кладбище.,,—,risky
FC08,"Новый флагман вышел, старый ещё дышит — меняем?",25–29,Соблазн,"Минус зарплата, плюс три секунды радости","Дн −2, Эн −1","Клеишь стекло на старый, без последствий",—,Камера на сто мегапикселей — снимать ту же стену!,"Старый телефон обиделся, но остался.",—,—,BLOCK$,—,absurd
FC09,Намекнули: выше этой должности не прыгнешь. Осесть и смириться?,30–40,Сцена,Спокойствие взамен амбиций,"Эн +1, Дн −1","Продолжаешь буксовать вверх, без последствий",Эн −1,"Потолок низкий, зато не капает!",Штурмует стеклянный потолок лбом — азартно!,Дорос до потолка и остался под ним.,—,BLOCK$,—,bitter
FC10,Затеять ремонт «на пару выходных»?,30–40,Соблазн,"Пыль, споры с мастером и новые обои","Дн −2, Эн −2","Живёшь с трещиной как с приметой, без последствий",—,Пара выходных пошла восьмой месяц!,Трещина на потолке — бесплатный ночник для мыслей.,—,—,BLOCK$,—,absurd
FC11,Взяться за второй язык с нуля — «ещё не поздно»?,30–40,Хобби,"Вечера с карточками, мозг скрипит бодрее","Дн −1, Эн −1","Обходишься переводчиком в кармане, без последствий",—,Уже умеет заказать кофе и извиниться — весь набор!,Международный язык жестов тоже неплох.,—,—,BLOCK$,—,warm
FC12,"Откладывать на путешествие мечты, урезав кофе по утрам?",30–40,Флейвор,"Копилка растёт, утро тускнеет","Дн +1, Эн −1","Пьёшь свой латте спокойно, без последствий",—,"Мечта всё ближе, а бодрость всё дальше!","Мечта подождёт, а капучино — нет.",—,"Копил на мечту, накопил на венок.",,—,sweet
FC13,Поставить брекеты во взрослом возрасте?,25–29,Соблазн,−N₽ и год с железом во рту,"Дн −2, Отн −1","Живёшь с фирменной кривой улыбкой, без последствий",—,Год страданий ради идеального селфи!,Кривая улыбка — это характер!,"Полжизни копил на ровные зубы, полжизни их прятал.","Улыбался как есть, и это подкупало.",BLOCK$,—,absurd
FC14,Взять первую машину в кредит — «ну надо же на чём-то»?,25–29,Соблазн,−N₽ и вечные заботы о ТО,Эн +1,"Остаёшься на общественном транспорте, без последствий",—,Своя пробка теперь всегда с тобой!,Метро довезёт и не попросит бензин.,Возил семью и полбагажника хлама.,Всю жизнь ездил зайцем к мечте.,,DRAIN:Дн=-0.2/s DUR:10y,risky
FC15,"Записаться на танцы, где ты старше всех на десять лет?",25–29,Хобби,"−N₽ за абонемент; неловко, но весело","Дн −1, Здр +1","Танцуешь только на кухне, без последствий",—,Гибкость тела и гордости — тренируем обе!,Кухонные танцы — тоже искусство.,"Не стеснялся танцевать, пусть и невпопад.",—,BLOCK$,—,warm
